City,Date,RPM,NOx,CO2,SO2
Mumbai,01-01-2015,0,27.38,0,0
Mumbai,02-01-2015,0,26.2,0,0
Mumbai,03-01-2015,0,26.4,0,0
Mumbai,04-01-2015,0,25.97,0,0
Mumbai,05-01-2015,0,25.18,0,0
Mumbai,06-01-2015,0,26.41,0,0
Mumbai,07-01-2015,0,27.8,0,0
Mumbai,08-01-2015,0,27.48,0,0
Mumbai,09-01-2015,0,27.22,0,0
Mumbai,10-01-2015,0,28.3,0,0
Mumbai,11-01-2015,0,27.57,0,0
Mumbai,12-01-2015,0,28.44,0,0
Mumbai,13-01-2015,0,29.15,0,0
Mumbai,14-01-2015,0,28.59,0,0
Mumbai,15-01-2015,0,27.83,0,0
Mumbai,16-01-2015,0,27.1,0,0
Mumbai,17-01-2015,0,27.21,0,0
Mumbai,18-01-2015,0,27.89,0,0
Mumbai,19-01-2015,0,26.78,0,0
Mumbai,20-01-2015,0,25.39,0,0
Mumbai,21-01-2015,0,25.4,0,0
Mumbai,22-01-2015,0,24.28,0,0
Mumbai,23-01-2015,0,26.51,0,0
Mumbai,24-01-2015,0,26.59,0,0
Mumbai,25-01-2015,0,26.27,0,0
Mumbai,26-01-2015,0,26.86,0,0
Mumbai,27-01-2015,0,27.26,0,0
Mumbai,28-01-2015,0,26.45,0,0
Mumbai,29-01-2015,0,26.3,0,0
Mumbai,30-01-2015,0,25.64,0,0
Mumbai,31-01-2015,0,27.34,0,0
Mumbai,01-02-2015,0,27.25,0,0
Mumbai,02-02-2015,0,26,0,0
Mumbai,03-02-2015,0,28.16,0,0
Mumbai,04-02-2015,0,29.13,0,0
Mumbai,05-02-2015,0,28.98,0,0
Mumbai,06-02-2015,0,28.69,0,0
Mumbai,07-02-2015,0,27.46,0,0
Mumbai,08-02-2015,0,26.77,0,0
Mumbai,09-02-2015,0,28.25,0,0
Mumbai,10-02-2015,0,28.48,0,0
Mumbai,11-02-2015,0,27.56,0,0
Mumbai,12-02-2015,0,27.86,0,0
Mumbai,13-02-2015,0,28,0,0
Mumbai,14-02-2015,0,28.2,0,0
Mumbai,15-02-2015,0,25.99,0,0
Mumbai,16-02-2015,0,25.47,0,0
Mumbai,17-02-2015,0,26.31,0,0
Mumbai,18-02-2015,0,25.14,0,0
Mumbai,19-02-2015,0,25.22,0,0
Mumbai,20-02-2015,0,25.44,0,0
Mumbai,21-02-2015,0,26.82,0,0
Mumbai,22-02-2015,0,27.54,0,0
Mumbai,23-02-2015,0,29.2,0,0
Mumbai,24-02-2015,0,26.68,0,0
Mumbai,25-02-2015,0,26.41,0,0
Mumbai,26-02-2015,0,26.85,0,0
Mumbai,27-02-2015,0,26.84,0,0
Mumbai,28-02-2015,0,25.4,0,0
Mumbai,01-03-2015,0,24.76,0,0
Mumbai,02-03-2015,0,27.32,0,0
Mumbai,03-03-2015,0,27.16,0,0
Mumbai,04-03-2015,0,27.37,0,0
Mumbai,05-03-2015,0,28.75,0,0
Mumbai,06-03-2015,0,30.51,0,0
Mumbai,07-03-2015,0,27.12,0,0
Mumbai,08-03-2015,0,27.7,0,0
Mumbai,09-03-2015,0,44.83,0,0
Mumbai,10-03-2015,0,148.63,0,0
Mumbai,11-03-2015,0,159.94,0,0
Mumbai,12-03-2015,0,141.44,0,0
Mumbai,13-03-2015,0,143.29,0,0
Mumbai,14-03-2015,0,96.51,0,0
Mumbai,15-03-2015,0,68.31,0,0
Mumbai,16-03-2015,0,77.33,0,0
Mumbai,17-03-2015,0,147.88,0,0
Mumbai,18-03-2015,0,146.64,0,0
Mumbai,19-03-2015,0,192.23,0,0
Mumbai,20-03-2015,0,216.78,0,0
Mumbai,21-03-2015,0,146.9,0,0
Mumbai,22-03-2015,0,129.6,0,0
Mumbai,23-03-2015,0,69.39,0,0
Mumbai,24-03-2015,0,126.4,0,0
Mumbai,25-03-2015,0,133.37,0,0
Mumbai,26-03-2015,0,75.96,0,0
Mumbai,27-03-2015,0,68.16,0,0
Mumbai,28-03-2015,0,50.92,0,0
Mumbai,29-03-2015,0,74.38,0,0
Mumbai,30-03-2015,0,83.22,0,0
Mumbai,31-03-2015,0,93.38,0,0
Mumbai,01-04-2015,0,149.29,0,0
Mumbai,02-04-2015,0,89.25,0,0
Mumbai,03-04-2015,0,73.5,0,0
Mumbai,04-04-2015,0,80.4,0,0
Mumbai,05-04-2015,0,65.24,0,0
Mumbai,06-04-2015,0,74.24,0,0
Mumbai,07-04-2015,0,13.3,0,0
Mumbai,08-04-2015,0,88.63,0,0
Mumbai,09-04-2015,0,53,0,0
Mumbai,10-04-2015,0,62,0,0
Mumbai,11-04-2015,0,41.87,0,0
Mumbai,12-04-2015,0,57.21,0,0
Mumbai,13-04-2015,0,66.13,0,0
Mumbai,14-04-2015,0,68.25,0,0
Mumbai,15-04-2015,0,14.12,0,0
Mumbai,16-04-2015,0,25.34,0,0
Mumbai,17-04-2015,0,25.7,0,0
Mumbai,18-04-2015,0,25.61,0,0
Mumbai,19-04-2015,0,25.61,0,0
